Eviction ID,File Date,Neighborhoods - Analysis Boundaries
26,2021,Chinatown
187,2000,Sunset/Parkside
41,2003,West of Twin Peaks
51,2015,Outer Mission
1,2010,Golden Gate Park
8,2003,Treasure Island
41,2015,Noe Valley
96,2008,Outer Richmond
13,2011,Twin Peaks
1,2006,
56,2013,Pacific Heights
30,2017,West of Twin Peaks
79,1998,Lone Mountain/USF
6,2014,Glen Park
13,2008,Lakeshore
16,2004,Russian Hill
73,1998,Tenderloin
50,2008,Haight Ashbury
4,1999,Japantown
58,2001,Lone Mountain/USF
47,2015,Inner Sunset
34,2013,Hayes Valley
39,2018,Outer Mission
7,2000,Lakeshore
33,2004,Oceanview/Merced/Ingleside
8,2018,Potrero Hill
31,2002,North Beach
10,2017,Glen Park
29,2014,West of Twin Peaks
28,2008,Oceanview/Merced/Ingleside
15,2023,Outer Mission
4,2021,Japantown
39,2004,Pacific Heights
33,2000,Twin Peaks
49,2007,Marina
1,2002,Lincoln Park
8,2006,Treasure Island
42,2012,Excelsior
17,2020,Pacific Heights
31,2004,Bayview Hunters Point
54,2012,Castro/Upper Market
42,1998,Outer Mission
7,2004,Financial District/South Beach
31,2014,Portola
62,2020,South of Market
52,2006,North Beach
35,2018,Haight Ashbury
71,2021,Tenderloin
59,2000,North Beach
43,2011,Bernal Heights
30,2018,North Beach
50,1999,Outer Mission
75,2008,Hayes Valley
46,2018,South of Market
27,2018,Inner Sunset
66,2004,Sunset/Parkside
17,2022,Chinatown
25,2011,North Beach
42,2010,Castro/Upper Market
2,2021,Twin Peaks
140,2010,Tenderloin
5,2006,Lincoln Park
35,2016,Chinatown
66,1999,Inner Richmond
61,1997,Tenderloin
3,2006,Seacliff
7,2010,Treasure Island
124,2013,South of Market
85,2014,Lakeshore
19,2008,Presidio Heights
90,2000,Tenderloin
15,2007,Visitacion Valley
133,1998,Noe Valley
31,2015,Chinatown
59,2020,Lakeshore
59,2014,Russian Hill
19,2010,North Beach
8,2005,Portola
14,2020,Outer Mission
1,1998,Seacliff
1,2004,Lincoln Park
140,1999,Castro/Upper Market
1,2023,
47,2016,Outer Mission
19,2022,Lone Mountain/USF
319,1999,Mission
87,1997,Nob Hill
93,2000,Pacific Heights
55,1999,Western Addition
10,2010,Glen Park
5,2023,Lone Mountain/USF
50,2014,Western Addition
15,2013,Presidio Heights
44,2003,Excelsior
100,2002,Castro/Upper Market
30,2012,Western Addition
43,2017,Pacific Heights
38,2008,North Beach
32,1999,Portola
268,2012,South of Market
2,2007,
76,2014,Excelsior
15,1998,Financial District/South Beach
37,2004,Excelsior
8,2020,Lone Mountain/USF
48,2005,Bernal Heights
93,2014,Nob Hill
1,2014,Mission Bay
2,2013,McLaren Park
149,1998,Castro/Upper Market
1,2013,Treasure Island
55,2019,Outer Richmond
6,2005,Glen Park
2,2019,Japantown
18,2011,Lone Mountain/USF
32,2017,Lone Mountain/USF
40,2011,Marina
74,2007,Hayes Valley
54,2017,Inner Richmond
15,2015,Presidio Heights
32,2011,Nob Hill
14,2005,Visitacion Valley
56,2013,Inner Sunset
6,2014,
46,2002,Bayview Hunters Point
11,2016,Japantown
48,2013,Inner Richmond
4,1999,Seacliff
50,2012,Haight Ashbury
5,2024,Lone Mountain/USF
55,2005,Pacific Heights
2,2011,Golden Gate Park
50,2002,Hayes Valley
34,2014,Chinatown
